Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
12749;42887;(UAA) Kinming Group Development Corporation;42885;Manila City Government;Parent company;;;;;;
12750;42887;(UAA) Kinming Group Development Corporation;42886;UAA Kinming Group Development Corporation;Parent company;;;;;;
12751;37172;Siat Nigeria Ltd (SNL);37170;Presco Plc;Parent company;Shares/Equity;100.0;;;;Presco is a fully integrated oil palm venture of 23,600 ha of industrial oil palm plantation, an oil mill, a palm kernel crushing plant and a refinery/fractionation plant
12752;41290;Nchalo GBI Limited Company;41291;Greenbelt Authority;Parent company;Shares/Equity;40.0;;;;GBI Holdings Limited (GBIHL) is a private company wholly owned by the Government of Malawi, established as the business investment arm of the Greenbelt Authority
12753;41290;Nchalo GBI Limited Company;41292;Nchalo Smallholder Cane Growers Association [NSHCA];Parent company;Shares/Equity;60.0;;;;
12754;43859;Argo-Golden LLC;43858;KSG Agricultural and Industrial Holding LTD;Parent company;Shares/Equity;99.9;;;;
12755;43860;Compagnie Industrielle du Bois au Cameroun (CIBC);40710;Vicwood;Parent company;Shares/Equity;;;;;
12756;43861;Compagnie forestière du Cameroun (CFC);40710;Vicwood;Parent company;;;;;;
12757;43862;Société Africaine des Bois (SAB);40710;Vicwood;Parent company;;;;;;
12758;43863;Société d'Exploitation des Bois du Cameroun (SEBC);40710;Vicwood;Parent company;Shares/Equity;;;;;
12759;43864;Souz-3 LLC;43858;KSG Agricultural and Industrial Holding LTD;Parent company;Shares/Equity;100.0;;;;
12760;43865;BD Agri LLC & BD Farm LLC;43844;Agria Group Holding JSC;Parent company;Shares/Equity;100.0;;;;
12761;36013;Unknown (Green Country Ltd);1397;Green Country Ltd;Parent company;;;;;;
12762;36013;Unknown (Green Country Ltd);2436;Government of Nigeria;Parent company;;;;;;
12764;43869;Diasvet LLC;43844;Agria Group Holding JSC;Parent company;Shares/Equity;100.0;;;;
12765;43870;Elit-86 LLC & Grouver LLC;43844;Agria Group Holding JSC;Parent company;Shares/Equity;100.0;;;;
12766;43871;Aris Agro LLC;43844;Agria Group Holding JSC;Parent company;Shares/Equity;100.0;;;;
12767;43872;SEFAC (	Société d'Exploitations Forestières et Agricoles du Cameroun);4616;Vasto Legno;Parent company;Shares/Equity;;;;;
12768;39394;La Filière Bois;43872;SEFAC (	Société d'Exploitations Forestières et Agricoles du Cameroun);Parent company;Shares/Equity;;;;;
12770;43874;Toni-M LLC;43844;Agria Group Holding JSC;Parent company;Shares/Equity;100.0;;;;
12771;41632;Société camerounaise d'Industrie et d'Exploitation des Bois (Scieb);43867;Wijma;Parent company;Shares/Equity;;;;;http://gfbcam.com/2016/07/27/fiche-wijma/
12772;41631;Cameroon United Forests(CUF);43867;Wijma;Parent company;Shares/Equity;;;;;
12774;41620;Société d’Exploitations des Bois d’Afrique Centrale (SEBAC);43872;SEFAC (	Société d'Exploitations Forestières et Agricoles du Cameroun);Parent company;Shares/Equity;;;;;
12777;43876;Capital Agroinvest LLC;41883;UIFK-Agro LLC;Parent company;Shares/Equity;100.0;;;;
12778;43875;Wadelai irrigation Project;3016;Government of Uganda;Parent company;Shares/Equity;;;;;
12780;39299;Great Northern Agribusiness Limited;4507;Lee Group;Parent company;Shares/Equity;;;;;The Lee-Group has now over 40 years experience in steel, footwear and plastic industries, worldwide branches and production locations. It is a Chinese owned company
12782;38166;Agropecuaria Arakatu Ltda.;3969;Grupo Arakatu;Parent company;;;;;;
12784;42082;Unknown (NNPC (Nigerian National Petroleum Corporation));42083;Nigerian National Petroleum Corporation (NNPC);Parent company;;;;;;
12785;38767;S.C. Maria Trading SRL;38770;S.C. Maria Group SRL;Parent company;Shares/Equity;100.0;;;;
12788;3649;Eco-Oil Energie;43885;Eco Oil Energie Sarl;Parent company;;;;;;
12789;3649;Eco-Oil Energie;43886;WEC Group;Parent company;;;;;;
12790;38708;Eco-Oil Energie SA Congo;3649;Eco-Oil Energie;Parent company;;;;;;
12791;38708;Eco-Oil Energie SA Congo;3650;Government of the Republic of Congo;Parent company;;;;;;
12792;39185;Cantagalo General Grains;4362;Grupo CGG;Parent company;;;;;;
12793;38168;Tauá Brasil Palma SA;1290;Galp Energia;Parent company;;49.9;;;;
12794;38168;Tauá Brasil Palma SA;43889;ECOTAUA PARTICIPACOES SA;Parent company;;50.1;;;;
12798;40116;Dong Phu - DakNong Rubber Joint Stock Company;43894;Dong Phu Rubber Joint Stock Company;Parent company;;;;;;
12800;43884;Tochi Irrigation Project;3016;Government of Uganda;Parent company;;;;;;
12801;42308;Agro KMR;42307;SC KMR France;Parent company;Shares/Equity;100.0;;;;
12802;43900;Unknown (Michel Créteur);43901;Michel Créteur;Parent company;Shares/Equity;100.0;;;;
12803;37774;Lao-Indochina Group Public Company Limited;2754;Indo-China Group;Parent company;;;;;;
12804;402;China CAMC Engineering Co. Ltd. (CAMC);43903;China National Machinery Industry Corporation (Sinomach);Parent company;;;;;;Also called China National Constructional and Agricultural Machinery Import and Export Corp.
12805;2061;MMG Ltd;43905;China Minmetals H.K. (Holdings) Limited (Minmetals HK);Parent company;Shares/Equity;67.68;;;;CMC’s subsidiary China Minmetals H.K. (Holdings) Limited (Minmetals HK) currently owns approximately 67.68% of the total shares of MMG, with the remaining 32.32% owned by public shareholders including global resources and investment funds.
12806;43905;China Minmetals H.K. (Holdings) Limited (Minmetals HK);43904;China Minmetals Corporation (CMC);Parent company;;;;;;
12807;38119;Fazenda Iowa Ltda;3258;BXR Group;Parent company;;;;;;
12809;42891;Alltech Contractors Inc. (Alltech);42888;Las Piñas Government;Parent company;;;;;;
12810;42891;Alltech Contractors Inc. (Alltech);42889;Parañaque City Government;Parent company;;;;;;
12814;39609;Myanmar Japan Thilawa Development, Ltd;4917;Thilawa SEZ Management Committee;Parent company;;10.0;;;;
12815;39609;Myanmar Japan Thilawa Development, Ltd;4856;Myanmar Thilawa SEZ Holdings Public Ltd;Parent company;;41.0;;;;
12816;39609;Myanmar Japan Thilawa Development, Ltd;2279;Japanese International Cooperation Agency (JICA);Parent company;;10.0;;;;
12817;39609;Myanmar Japan Thilawa Development, Ltd;4857;MMS Thilawa Development Co., Ltd;Parent company;;29.0;;;;
12818;39049;Del Monte Fresh Produce Brasil Ltda.;4189;Fresh Del Monte Produce;Parent company;;;;;;
12819;39242;Unknown (Tifralait and International Agriculture Group (AIAG));4436;International Agriculture Group (AIAG);Parent company;Shares/Equity;49.0;;;;
12820;39242;Unknown (Tifralait and International Agriculture Group (AIAG));4435;Tifralait;Parent company;Shares/Equity;51.0;;;;
12821;42415;Unknown (5443);2380;AAAID;Parent company;Shares/Equity;;;;;
12822;39282;SANABIL Project;2380;AAAID;Parent company;Shares/Equity;40.0;;;;AAAID contributes with DZD 20 million (USD168,000) that represents 40% of the initial capital of the project in addition to specifying an amount of money to a Feasibility Study for the company and to determine the final capital needed after this study.
12823;39282;SANABIL Project;4992;Unknown (4992);Parent company;Shares/Equity;60.0;;;;
12824;39799;Agricost S.A.;346;Al Dahra Agricultural Company LLC;Parent company;;;;;;
